City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0023,-57.5575,18.26,52,0,2.68,AR,1680846091
1,junagarh,19.8667,82.9333,37.78,22,4,2.29,IN,1680846232
2,lumding,25.7535,93.1732,33.96,26,5,1.02,IN,1680846473
3,emet,39.343,29.2585,4.69,91,99,1.35,TR,1680846473
4,bengkulu,-3.8004,102.2655,28.83,65,47,3.15,ID,1680846110
5,pisek,49.3088,14.1475,1.73,79,96,0.71,CZ,1680846473
6,ushuaia,-54.8,-68.3,6.81,53,0,7.2,AR,1680846091
7,bredasdorp,-34.5322,20.0403,17.79,74,35,5.0,ZA,1680846093
8,east london,-33.0153,27.9116,20.52,77,0,2.06,ZA,1680846131
9,vardo,70.3705,31.1107,0.99,64,12,8.75,NO,1680846194
10,lavrentiya,65.5833,-171.0,-25.3,98,48,1.59,RU,1680846113
11,vaini,-21.2,-175.2,27.09,100,40,3.6,TO,1680846091
12,qaanaaq,77.484,-69.3632,-28.0,62,0,3.05,GL,1680846104
13,yar-sale,66.8333,70.8333,-10.09,85,100,7.15,RU,1680846171
14,anadyr,64.75,177.4833,-16.72,78,75,3.0,RU,1680846197
15,tulsipur,28.131,82.2973,30.39,15,0,3.33,NP,1680846474
16,tianpeng,30.9866,103.9393,18.26,34,37,3.0,CN,1680846475
17,mataura,-46.1927,168.8643,9.26,76,22,0.89,NZ,1680846098
18,stonewall,50.1344,-97.3268,-6.18,98,45,2.36,CA,1680846475
19,barrow,71.2906,-156.7887,-25.99,76,0,0.0,US,1680846105
20,carnarvon,-24.8667,113.6333,24.2,56,26,9.41,AU,1680846128
21,luderitz,-26.6481,15.1594,16.11,90,45,4.28,NA,1680846160
22,avarua,-21.2078,-159.775,26.03,83,75,2.57,CK,1680846113
23,esil,51.9556,66.4042,2.16,78,100,9.4,KZ,1680846476
24,rikitea,-23.1203,-134.9692,24.87,65,89,5.48,PF,1680846099
25,port alfred,-33.5906,26.891,23.31,57,48,6.4,ZA,1680846093
26,leningradskiy,69.3833,178.4167,-24.06,97,12,1.22,RU,1680846476
27,kapaa,22.0752,-159.319,24.18,81,40,7.72,US,1680845848
28,iqaluit,63.7506,-68.5145,-23.15,70,20,7.72,CA,1680846108
29,port hardy,50.6996,-127.4199,8.0,100,100,4.12,CA,1680846105
30,palauig,15.435,119.9045,28.9,70,93,5.66,PH,1680846477
31,makakilo city,21.3469,-158.0858,24.18,67,20,6.69,US,1680846477
32,busselton,-33.65,115.3333,22.3,45,90,5.92,AU,1680846097
33,lebu,-37.6167,-73.65,10.72,86,97,7.9,CL,1680846124
34,esperance,-33.8667,121.9,18.67,56,38,5.37,AU,1680846139
35,magole,-6.3667,37.3667,22.58,94,96,1.38,TZ,1680846478
36,port-gentil,-0.7193,8.7815,24.98,94,40,1.03,GA,1680846478
37,igarka,67.4667,86.5833,-22.5,84,96,6.15,RU,1680846101
38,balkanabat,39.5108,54.3671,20.69,36,2,6.4,TM,1680846478
39,truckee,39.328,-120.1833,8.18,63,40,4.12,US,1680846391
40,hanna,51.6334,-111.9018,-6.75,87,28,4.02,CA,1680846479
41,longyearbyen,78.2186,15.6401,-4.09,93,100,8.23,SJ,1680846091
42,bilibino,68.0546,166.4372,-11.83,89,9,1.22,RU,1680846163
43,clyde river,70.4692,-68.5914,-23.87,77,40,5.14,CA,1680846121
44,hithadhoo,-0.6,73.0833,27.7,68,36,0.72,MV,1680846155
45,kodiak,57.79,-152.4072,1.73,64,75,3.6,US,1680846146
46,sydney,-33.8679,151.2073,24.75,72,20,7.72,AU,1680846479
47,coihaique,-45.5752,-72.0662,5.97,75,0,1.54,CL,1680846178
48,casper,42.8666,-106.3131,-2.67,68,0,9.77,US,1680846479
49,teutonia,-29.4481,-51.8064,18.51,92,100,0.63,BR,1680846341
50,nemuro,43.3236,145.575,5.39,99,100,10.05,JP,1680846480
51,kisangani,0.5167,25.2,24.96,68,100,1.66,CD,1680846480
52,upernavik,72.7868,-56.1549,-30.65,98,39,3.72,GL,1680846095
53,shimoda,34.6667,138.95,21.2,89,100,9.67,JP,1680846481
54,vilyuysk,63.7553,121.6247,-3.29,90,100,8.27,RU,1680846146
55,nanortalik,60.1432,-45.2371,-1.39,90,97,2.72,GL,1680846112
56,salalah,17.0151,54.0924,29.05,65,75,3.09,OM,1680846148
57,mantua,45.1667,10.7833,6.31,82,62,0.45,IT,1680846481
58,cayenne,4.9333,-52.3333,24.02,83,20,1.03,GF,1680846178
59,port elizabeth,-33.918,25.5701,21.17,90,20,12.52,ZA,1680846109
60,atuona,-9.8,-139.0333,27.52,72,1,9.31,PF,1680846092
61,chokurdakh,70.6333,147.9167,-17.74,92,99,1.33,RU,1680846119
62,westport,41.1415,-73.3579,14.99,58,100,5.14,US,1680846197
63,dingle,10.9995,122.6711,30.42,58,91,4.31,PH,1680846155
64,ornskoldsvik,63.2909,18.7153,0.53,100,100,1.54,SE,1680846482
65,merauke,-8.4667,140.3333,28.05,77,100,4.87,ID,1680846482
66,ossora,59.2353,163.0719,-4.36,75,7,1.15,RU,1680846483
67,thompson,55.7435,-97.8558,-5.91,49,20,0.0,CA,1680846111
68,margate,51.3813,1.3862,7.15,86,28,1.34,GB,1680846220
69,asau,46.4333,26.4,-0.4,84,100,0.4,RO,1680846149
70,punta arenas,-53.15,-70.9167,4.06,65,0,4.12,CL,1680845996
71,hermanus,-34.4187,19.2345,15.45,86,27,5.52,ZA,1680846107
72,fort nelson,58.8053,-122.7002,8.77,43,75,1.54,CA,1680846329
73,bonavista,48.6499,-53.1147,-1.09,82,99,7.59,CA,1680846483
74,montlucon,46.3333,2.6,5.95,95,98,1.57,FR,1680846484
75,mongoumba,3.6415,18.5936,23.95,84,69,1.92,CF,1680846484
76,hilo,19.7297,-155.09,22.93,96,100,2.24,US,1680846114
77,pevek,69.7008,170.3133,-21.34,85,1,0.42,RU,1680846151
78,svetlogorsk,52.6333,29.7333,9.65,91,100,2.18,BY,1680846152
79,victoria,22.2855,114.1577,26.25,71,96,0.45,HK,1680845954
80,sikeston,36.8767,-89.5879,8.84,76,0,0.0,US,1680846485
81,hobart,-42.8794,147.3294,16.92,89,75,1.54,AU,1680846019
82,sinnamary,5.3833,-52.95,24.29,84,54,5.15,GF,1680846127
83,tanga,-5.0667,39.1,27.32,77,91,3.46,TZ,1680846485
84,albany,42.6001,-73.9662,8.58,51,88,0.45,US,1680845947
85,puerto ayora,-0.7393,-90.3518,26.42,94,100,1.79,EC,1680846104
86,bambous virieux,-20.3428,57.7575,28.45,89,40,1.54,MU,1680846141
87,constitucion,-35.3333,-72.4167,13.84,59,54,3.67,CL,1680846179
88,fonte boa,-2.4959,-66.2662,22.41,99,97,1.63,BR,1680846486
89,winnemucca,40.973,-117.7357,7.03,49,0,4.12,US,1680846482
90,norman wells,65.282,-126.8329,-8.98,73,75,2.57,CA,1680846096
91,sitka,57.0531,-135.33,4.94,87,100,2.06,US,1680846104
92,havoysund,70.9963,24.6622,3.13,72,14,7.55,NO,1680846486
93,boguchany,58.3814,97.4531,-2.03,54,100,5.18,RU,1680846487
94,jalu,29.0331,21.5482,16.78,54,76,5.91,LY,1680846487
95,portland,45.5234,-122.6762,11.86,95,100,6.17,US,1680845853
96,mehamn,71.0357,27.8492,2.97,60,12,5.14,NO,1680846093
97,kudahuvadhoo,2.6708,72.8944,28.23,67,35,1.23,MV,1680846117
98,cape town,-33.9258,18.4232,17.29,82,40,3.09,ZA,1680846051
